Timestamp (UTC),Transcription,File,Alexa Response,Profile Name
2023-06-03T20:00:11.195Z,search for inception movie rental,d7e26c8661637d54f2ad828572a04d3455ff8852.wav,Here's what I found.,
2023-06-03T20:00:49.246Z,best action movies on prime video,373b9c4cc04cda1574f98318dfe3c8fab71c5b35.wav,Here's what I found.,
2023-06-03T20:01:52.238Z,search for best action tv shows in twenty twenty three,67fdbefd88e85d06f499a13a6a25206686d10b66.wav,Here's what I found.,
2023-06-03T19:59:56.215Z,what are the best action movies this year,9328a73a2b77cc008f666546e205c15f983dbdb1.wav,Here's what I found.,
2023-06-03T20:01:26.310Z,search for n. b. a. finals on prime video,e6ce46be80ea5aba8f1115b934567cc5fa2fdc61.wav,Here's what I found.,
2023-06-03T20:03:56.690Z,search for action movies with hans zimmer soundtrack,5da891ae1019105a3babf46713b0b82b154642c0.wav,Here's what I found.,
2023-06-03T20:03:20.998Z, search for n. b. a. league pass,392b466a674ce1a531f3a6378376199af900e3d3.wav,"Okay, before I can continue, please set a location for your amazon account on amazon.com, under the Preferences tab of Your Content and Devices.",
2023-06-03T20:01:39.496Z,search for n. f. l. highlights on prime video,62ff716ed4e45ba635d1a78bb7e0221d5f039100.wav,Here's what I found.,
2023-06-03T20:02:16.566Z,add creed to watchlist,318e73e0af1cda856e569b2226e229d04a3a5394.wav,Adding to watch list is currently not supported.,
2023-06-03T20:04:05.313Z,search for dune blu-ray,329e27e3cbfbff7b83301cc6330390833f9cfc8e.wav,"Okay, here's Dune on Prime Video.",
2023-06-03T20:03:33.659Z,add the gladiator to watchlist,ca7fa99f937f50a3a804eb536ffc4eb261ccc0f1.wav,Adding to watch list is currently not supported.,
2023-06-03T20:01:00.118Z,search for best action movies on prime video,f8bd9891952543a3a25729dffb96790046938488.wav,"The Bourne Identity, The Bourne Supremacy, and The Bourne Ultimatum are all on Prime Video.",
2023-06-03T20:02:10.011Z,recommend sports documentaries on prime video,b51ec550664035d5366269fd8167f3b9ed15b7f3.wav,"Sorry, I don't know that one.",
2023-06-03T20:01:19.045Z,what sports channels are available on prime video,2384a0c7ff7ed76a9e2b97e4e7193b85c6000350.wav,Here's what I found.,
2023-06-03T20:03:46.501Z,what are the best action movies with the best soundtracks,05e4e5477b75b2e2fb9baf8ac6dc8cbe5ef16c6b.wav,Here's what I found.,
2023-06-03T20:02:01.169Z,rent top gun maverick,9e0ace26420e5c269ab17f1d7a639337e69fdac5.wav,Purchase video is not supported.,
2023-06-03T19:59:48.309Z, search for best action movies,f6c5fdb044b4b5d3f8bb3579b4f00dee627e5e84.wav,Here's what I found.,
2023-06-03T20:04:18.186Z,add inception d. v. d. to cart,36741826b9283975b901e967a2a813fcb0bd0c94.wav,Showing items matching inception dvd on Amazon.,
2023-06-03T20:02:36.182Z, add no time to die to watchlist,20596669367a4e2062fe2ed1fa839208c49b248f.wav,Adding to watch list is currently not supported.,
2023-06-03T20:02:25.412Z,which james bond movie has the highest rating,aa1aa0b8b03114eb7c5d375544b812856e92715b.wav,"The best James Bond movies is ""Casino Royale"" based on its ratings and popularity. The movie has an IMDb rating of 8 out of 10 with around 671,000 votes.",
