Timestamp (UTC),Transcription,File,Alexa Response,Profile Name
2023-06-03T19:43:50.120Z,inception movie rental,8fac950e71b57a9c6d11a09c60cb605a593f8360.wav,Here's what I found.,
2023-06-03T19:45:44.416Z,add no time to die to watchlist,8f7a13be0513d85f2fa93939f014a915d4592c26.wav,Adding to watch list is currently not supported.,
2023-06-03T19:46:39.937Z,search for movies with hans zimmer soundtrack on prime video,d70bc4f1547ab8286bfd2d74f5096709685b4f43.wav,Here's what I found.,
2023-06-03T19:44:25.207Z,what sports channels are available on prime video,eb6edae321aae0c06524bc96a548cd3d74a746ce.wav,Here's what I found.,
2023-06-03T19:44:59.109Z,search for n. f. l. highlights on prime video,89d3b37ee45ed31917fdb4a80bb494dfe64e7cf2.wav,Here's what I found.,
2023-06-03T19:46:25.494Z,search for action movies with hans zimmer soundtrack,843b62b9db12785eacdcc43f34b5e073e1b8f8cb.wav,Here's what I found.,
2023-06-03T19:45:36.419Z,which james bond movie has the highest rating,2145c305dc0a0b1c3ffaebfb10fd0dcd4292467c.wav,"The best James Bond movies is ""Casino Royale"" based on its ratings and popularity. The movie has an IMDb rating of 8 out of 10 with around 671,000 votes.",
2023-06-03T19:46:15.378Z,what are the best action movies with the best soundtracks,45137cd4e75f5edac0c8db65b83b537fcbb8dbba.wav,Here's what I found.,
2023-06-03T19:45:28.483Z,add creed to watchlist,8ab83a7ddaae35c174c001b697e9ff75cf76a4d7.wav,Adding to watch list is currently not supported.,
2023-06-03T19:44:16.101Z,best action movies on prime video,81a80ff0035ad6bf4a658fe361d86c886ea8c4bd.wav,"The Bourne Identity, The Bourne Supremacy, and The Bourne Ultimatum are all on Prime Video.",
2023-06-03T19:47:03.023Z,add inception d. v. d. to cart,1e656b1b148aa5b6335086cebca734a628d788d3.wav,Showing items matching inception dvd on Amazon.,
2023-06-03T19:46:03.935Z,add the gladiator to watchlist,3facde016217297fe9934ae7e3016b581fe98a22.wav,Adding to watch list is currently not supported.,
2023-06-03T19:45:21.350Z,recommend sports documentaries on prime video,20c1f234451319a6cd9234fddedf9b531c3eed43.wav,"Hmm, I'm not sure.",
2023-06-03T19:44:42.678Z,search for n. b. a. finals on prime video,2b8f4e79e51c6fd4d2bf24b3265cd15682dd2571.wav,Here's what I found.,
2023-06-03T19:43:04.439Z,search for best action movies,9befe7d89b6d1ec39349e81a5574d01c121e12e7.wav,Here's what I found.,
2023-06-03T19:44:05.149Z, add interstellar blu-ray to cart,954f450870348cc709b86c49d4c3212a72945bf0.wav,Showing items matching interstellar blu-ray on Amazon.,
2023-06-03T19:45:51.701Z,search for n. b. a. league pass,6c85b0485d03a8cdacd357a2d004937465eb30d0.wav,"Okay, before I can continue, please set a location for your amazon account on amazon.com, under the Preferences tab of Your Content and Devices.",
2023-06-03T19:43:19.275Z,what are the best action movies this year,27bce8559b72108987287a565efa5442d6edbdcd.wav,Here's what I found.,
2023-06-03T19:46:51.955Z,add dune to cart,e24ecab5b584c655290967d05e767b3facffd1b1.wav,Showing items matching dune on Amazon.,
2023-06-03T19:44:35.697Z,n. b. a. finals on prime video,710eb05d3ab624bdc431a3377809baaf2b0c7c6c.wav,"Hmm, I don't know that one.",
2023-06-03T19:45:13.589Z,rent top gun maverick,563e253b0c503a9bf61ebb4758eb83d87e5db895.wav,Purchase video is not supported.,
